revenue_date,revenue,dw_cid,pred_date
2020-12-23,29893.283368198754,17048,2020-02-14
2020-12-24,29893.283368198754,17048,2020-02-14
2020-12-25,29893.283368198754,17048,2020-02-14
2020-12-26,29893.283368198754,17048,2020-02-14
2020-12-27,29893.283368198754,17048,2020-02-14
2020-12-28,29893.283368198754,17048,2020-02-14
2020-12-29,29893.283368198754,17048,2020-02-14
2020-12-30,29893.283368198754,17048,2020-02-14
2020-12-31,29893.283368198754,17048,2020-02-14
2021-01-01,27310.387486003405,17048,2020-02-14
2021-01-02,27310.387486003405,17048,2020-02-14
2021-01-03,27310.387486003405,17048,2020-02-14
2021-01-04,27310.387486003405,17048,2020-02-14
2021-01-05,27310.387486003405,17048,2020-02-14
2021-01-06,27310.387486003405,17048,2020-02-14
2021-01-07,27310.387486003405,17048,2020-02-14
2021-01-08,27310.387486003405,17048,2020-02-14
2021-01-09,27310.387486003405,17048,2020-02-14
2021-01-10,27310.387486003405,17048,2020-02-14
2021-01-11,27310.387486003405,17048,2020-02-14
2021-01-12,27310.387486003405,17048,2020-02-14
2021-01-13,27310.387486003405,17048,2020-02-14
2021-01-14,27310.387486003405,17048,2020-02-14
2021-01-15,27310.387486003405,17048,2020-02-14
2021-01-16,27310.387486003405,17048,2020-02-14
2021-01-17,27310.387486003405,17048,2020-02-14
2021-01-18,27310.387486003405,17048,2020-02-14
2021-01-19,27310.387486003405,17048,2020-02-14
2021-01-20,27310.387486003405,17048,2020-02-14
2021-01-21,27310.387486003405,17048,2020-02-14
2021-01-22,27310.387486003405,17048,2020-02-14
2021-01-23,27310.387486003405,17048,2020-02-14
2021-01-24,27310.387486003405,17048,2020-02-14
2021-01-25,27310.387486003405,17048,2020-02-14
2021-01-26,27310.387486003405,17048,2020-02-14
2021-01-27,27310.387486003405,17048,2020-02-14
2021-01-28,27310.387486003405,17048,2020-02-14
2021-01-29,27310.387486003405,17048,2020-02-14
2021-01-30,27310.387486003405,17048,2020-02-14
2021-01-31,27310.387486003405,17048,2020-02-14
2021-02-01,21881.45421857081,17048,2020-02-14
2021-02-02,21881.45421857081,17048,2020-02-14
2021-02-03,21881.45421857081,17048,2020-02-14
2021-02-04,21881.45421857081,17048,2020-02-14
2021-02-05,21881.45421857081,17048,2020-02-14
2021-02-06,21881.45421857081,17048,2020-02-14
2021-02-07,21881.45421857081,17048,2020-02-14
2021-02-08,21881.45421857081,17048,2020-02-14
2021-02-09,21881.45421857081,17048,2020-02-14
2021-02-10,21881.45421857081,17048,2020-02-14
2021-02-11,21881.45421857081,17048,2020-02-14
2021-02-12,21881.45421857081,17048,2020-02-14
